id,nome,categoria,tempo_secondi,ingredienti,prodotti,macchine
wooden-chest,Wooden chest,Logistics,0.5,Wood x2,Wooden chest x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
iron-chest,Iron chest,Logistics,0.5,Iron plate x8,Iron chest x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
steel-chest,Steel chest,Logistics,0.5,Steel plate x8,Steel chest x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
storage-tank,Storage tank,Logistics,3,Iron plate x20; Steel plate x5,Storage tank x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
transport-belt,Transport belt,Logistics,0.5,Iron plate x1; Iron gear wheel x1,Transport belt x2,assembling-machine-1; assembling-machine-2; assembling-machine-3
fast-transport-belt,Fast transport belt,Logistics,0.5,Iron gear wheel x5; Transport belt x1,Fast transport belt x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
express-transport-belt,Express transport belt,Logistics,0.5,Iron gear wheel x10; Fast transport belt x1; Lubricant x20,Express transport belt x1,assembling-machine-2; assembling-machine-3
underground-belt,Underground belt,Logistics,1,Iron plate x10; Transport belt x5,Underground belt x2,assembling-machine-1; assembling-machine-2; assembling-machine-3
fast-underground-belt,Fast underground belt,Logistics,2,Iron gear wheel x40; Underground belt x2,Fast underground belt x2,assembling-machine-1; assembling-machine-2; assembling-machine-3
express-underground-belt,Express underground belt,Logistics,2,Iron gear wheel x80; Fast underground belt x2; Lubricant x40,Express underground belt x2,assembling-machine-2; assembling-machine-3
splitter,Splitter,Logistics,1,Electronic circuit x5; Iron plate x5; Transport belt x4,Splitter x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
fast-splitter,Fast splitter,Logistics,2,Splitter x1; Iron gear wheel x10; Electronic circuit x10,Fast splitter x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
express-splitter,Express splitter,Logistics,2,Fast splitter x1; Iron gear wheel x10; Advanced circuit x10; Lubricant x80,Express splitter x1,assembling-machine-2; assembling-machine-3
burner-inserter,Burner inserter,Logistics,0.5,Iron plate x1; Iron gear wheel x1,Burner inserter x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
inserter,Inserter,Logistics,0.5,Electronic circuit x1; Iron gear wheel x1; Iron plate x1,Inserter x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
long-handed-inserter,Long-handed inserter,Logistics,0.5,Iron gear wheel x1; Iron plate x1; Inserter x1,Long-handed inserter x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
fast-inserter,Fast inserter,Logistics,0.5,Electronic circuit x2; Iron plate x2; Inserter x1,Fast inserter x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
bulk-inserter,Bulk inserter,Logistics,0.5,Iron gear wheel x15; Electronic circuit x15; Advanced circuit x1; Fast inserter x1,Bulk inserter x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
small-electric-pole,Small electric pole,Logistics,0.5,Wood x1; Copper cable x2,Small electric pole x2,assembling-machine-1; assembling-machine-2; assembling-machine-3
medium-electric-pole,Medium electric pole,Logistics,0.5,Iron stick x4; Steel plate x2; Copper cable x2,Medium electric pole x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
big-electric-pole,Big electric pole,Logistics,0.5,Iron stick x8; Steel plate x5; Copper cable x4,Big electric pole x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
substation,Substation,Logistics,0.5,Steel plate x10; Advanced circuit x5; Copper cable x6,Substation x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
pipe,Pipe,Logistics,0.5,Iron plate x1,Pipe x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
pipe-to-ground,Pipe to ground,Logistics,0.5,Pipe x10; Iron plate x5,Pipe to ground x2,assembling-machine-1; assembling-machine-2; assembling-machine-3
pump,Pump,Logistics,2,Engine unit x1; Steel plate x1; Pipe x1,Pump x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
rail,Rail,Logistics,0.5,Stone x1; Iron stick x1; Steel plate x1,Rail x2,assembling-machine-1; assembling-machine-2; assembling-machine-3
train-stop,Train stop,Logistics,0.5,Electronic circuit x5; Iron plate x6; Iron stick x6; Steel plate x3,Train stop x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
rail-signal,Rail signal,Logistics,0.5,Electronic circuit x1; Iron plate x5,Rail signal x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
rail-chain-signal,Rail chain signal,Logistics,0.5,Electronic circuit x1; Iron plate x5,Rail chain signal x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
locomotive,Locomotive,Logistics,4,Engine unit x20; Electronic circuit x10; Steel plate x30,Locomotive x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
cargo-wagon,Cargo wagon,Logistics,1,Iron gear wheel x10; Iron plate x20; Steel plate x20,Cargo wagon x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
fluid-wagon,Fluid wagon,Logistics,1.5,Iron gear wheel x10; Steel plate x16; Pipe x8; Storage tank x1,Fluid wagon x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
artillery-wagon,Artillery wagon,Logistics,4,Engine unit x64; Iron gear wheel x10; Steel plate x40; Pipe x16; Advanced circuit x20,Artillery wagon x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
car,Car,Logistics,2,Engine unit x8; Iron plate x20; Steel plate x5,Car x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
tank,Tank,Logistics,5,Engine unit x32; Steel plate x50; Iron gear wheel x15; Advanced circuit x10,Tank x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
spidertron,Spidertron,Logistics,10,Exoskeleton x4; Portable fission reactor x2; Rocket launcher x4; Processing unit x16; Low density structure x150; Radar x2; Efficiency module 3 x2; Raw fish x1,Spidertron x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
logistic-robot,Logistic robot,Logistics,0.5,Flying robot frame x1; Advanced circuit x2,Logistic robot x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
construction-robot,Construction robot,Logistics,0.5,Flying robot frame x1; Electronic circuit x2,Construction robot x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
active-provider-chest,Active provider chest,Logistics,0.5,Steel chest x1; Electronic circuit x3; Advanced circuit x1,Active provider chest x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
passive-provider-chest,Passive provider chest,Logistics,0.5,Steel chest x1; Electronic circuit x3; Advanced circuit x1,Passive provider chest x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
storage-chest,Storage chest,Logistics,0.5,Steel chest x1; Electronic circuit x3; Advanced circuit x1,Storage chest x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
buffer-chest,Buffer chest,Logistics,0.5,Steel chest x1; Electronic circuit x3; Advanced circuit x1,Buffer chest x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
requester-chest,Requester chest,Logistics,0.5,Steel chest x1; Electronic circuit x3; Advanced circuit x1,Requester chest x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
roboport,Roboport,Logistics,5,Steel plate x45; Iron gear wheel x45; Advanced circuit x45,Roboport x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
small-lamp,Lamp,Logistics,0.5,Electronic circuit x1; Copper cable x3; Iron plate x1,Lamp x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
arithmetic-combinator,Arithmetic combinator,Logistics,0.5,Copper cable x5; Electronic circuit x5,Arithmetic combinator x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
decider-combinator,Decider combinator,Logistics,0.5,Copper cable x5; Electronic circuit x5,Decider combinator x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
selector-combinator,Selector combinator,Logistics,0.5,Advanced circuit x2; Decider combinator x5,Selector combinator x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
constant-combinator,Constant combinator,Logistics,0.5,Copper cable x5; Electronic circuit x2,Constant combinator x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
power-switch,Power switch,Logistics,2,Iron plate x5; Copper cable x5; Electronic circuit x2,Power switch x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
programmable-speaker,Programmable speaker,Logistics,2,Iron plate x3; Iron stick x4; Copper cable x5; Electronic circuit x4,Programmable speaker x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
display-panel,Display panel,Logistics,0.5,Iron plate x1; Electronic circuit x1,Display panel x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
stone-brick,Stone brick,Logistics,3.2,Stone x2,Stone brick x1,stone-furnace; steel-furnace; electric-furnace
concrete,Concrete,Logistics,10,Stone brick x5; Iron ore x1; Water x100,Concrete x10,assembling-machine-2; assembling-machine-3
hazard-concrete,Hazard concrete,Logistics,0.25,Concrete x10,Hazard concrete x10,assembling-machine-1; assembling-machine-2; assembling-machine-3
refined-concrete,Refined concrete,Logistics,15,Concrete x20; Iron stick x8; Steel plate x1; Water x100,Refined concrete x10,assembling-machine-2; assembling-machine-3
refined-hazard-concrete,Refined hazard concrete,Logistics,0.25,Refined concrete x10,Refined hazard concrete x10,assembling-machine-1; assembling-machine-2; assembling-machine-3
landfill,Landfill,Logistics,0.5,Stone x50,Landfill x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
cliff-explosives,Cliff explosives,Logistics,8,Explosives x10; Grenade x1; Barrel x1,Cliff explosives x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
repair-pack,Repair pack,Production,0.5,Electronic circuit x2; Iron gear wheel x2,Repair pack x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
boiler,Boiler,Production,0.5,Stone furnace x1; Pipe x4,Boiler x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
steam-engine,Steam engine,Production,0.5,Iron gear wheel x8; Pipe x5; Iron plate x10,Steam engine x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
solar-panel,Solar panel,Production,10,Steel plate x5; Electronic circuit x15; Copper plate x5,Solar panel x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
accumulator,Accumulator,Production,10,Iron plate x2; Battery x5,Accumulator x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
nuclear-reactor,Nuclear reactor,Production,8,Concrete x500; Steel plate x500; Advanced circuit x500; Copper plate x500,Nuclear reactor x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
heat-pipe,Heat pipe,Production,1,Steel plate x10; Copper plate x20,Heat pipe x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
heat-exchanger,Heat exchanger,Production,3,Steel plate x10; Copper plate x100; Pipe x10,Heat exchanger x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
steam-turbine,Steam turbine,Production,3,Iron gear wheel x50; Copper plate x50; Pipe x20,Steam turbine x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
burner-mining-drill,Burner mining drill,Production,2,Iron gear wheel x3; Stone furnace x1; Iron plate x3,Burner mining drill x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
electric-mining-drill,Electric mining drill,Production,2,Electronic circuit x3; Iron gear wheel x5; Iron plate x10,Electric mining drill x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
offshore-pump,Offshore pump,Production,0.5,Pipe x3; Iron gear wheel x2,Offshore pump x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
pumpjack,Pumpjack,Production,5,Steel plate x5; Iron gear wheel x10; Electronic circuit x5; Pipe x10,Pumpjack x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
stone-furnace,Stone furnace,Production,0.5,Stone x5,Stone furnace x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
steel-furnace,Steel furnace,Production,3,Steel plate x6; Stone brick x10,Steel furnace x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
electric-furnace,Electric furnace,Production,5,Steel plate x10; Advanced circuit x5; Stone brick x10,Electric furnace x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
assembling-machine-1,Assembling machine 1,Production,0.5,Electronic circuit x3; Iron gear wheel x5; Iron plate x9,Assembling machine 1 x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
assembling-machine-2,Assembling machine 2,Production,0.5,Steel plate x2; Electronic circuit x3; Iron gear wheel x5; Assembling machine 1 x1,Assembling machine 2 x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
assembling-machine-3,Assembling machine 3,Production,0.5,Speed module x4; Assembling machine 2 x2,Assembling machine 3 x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
oil-refinery,Oil refinery,Production,8,Steel plate x15; Iron gear wheel x10; Stone brick x10; Electronic circuit x10; Pipe x10,Oil refinery x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
chemical-plant,Chemical plant,Production,5,Steel plate x5; Iron gear wheel x5; Electronic circuit x5; Pipe x5,Chemical plant x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
centrifuge,Centrifuge,Production,4,Concrete x100; Steel plate x50; Advanced circuit x100; Iron gear wheel x100,Centrifuge x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
lab,Lab,Production,2,Electronic circuit x10; Iron gear wheel x10; Transport belt x4,Lab x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
beacon,Beacon,Production,15,Electronic circuit x20; Advanced circuit x20; Steel plate x10; Copper cable x10,Beacon x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
speed-module,Speed module,Production,15,Advanced circuit x5; Electronic circuit x5,Speed module x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
speed-module-2,Speed module 2,Production,30,Speed module x4; Advanced circuit x5; Processing unit x5,Speed module 2 x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
speed-module-3,Speed module 3,Production,60,Speed module 2 x4; Advanced circuit x5; Processing unit x5,Speed module 3 x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
efficiency-module,Efficiency module,Production,15,Advanced circuit x5; Electronic circuit x5,Efficiency module x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
efficiency-module-2,Efficiency module 2,Production,30,Efficiency module x4; Advanced circuit x5; Processing unit x5,Efficiency module 2 x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
efficiency-module-3,Efficiency module 3,Production,60,Efficiency module 2 x4; Advanced circuit x5; Processing unit x5,Efficiency module 3 x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
productivity-module,Productivity module,Production,15,Advanced circuit x5; Electronic circuit x5,Productivity module x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
productivity-module-2,Productivity module 2,Production,30,Productivity module x4; Advanced circuit x5; Processing unit x5,Productivity module 2 x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
productivity-module-3,Productivity module 3,Production,60,Productivity module 2 x4; Advanced circuit x5; Processing unit x5,Productivity module 3 x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
rocket-silo,Rocket silo,Production,30,Steel plate x1000; Concrete x1000; Pipe x100; Processing unit x200; Electric engine unit x200,Rocket silo x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
cargo-landing-pad,Cargo landing pad,Production,30,Concrete x200; Steel plate x25; Processing unit x10,Cargo landing pad x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
satellite,Satellite,Production,5,Low density structure x100; Solar panel x100; Accumulator x100; Radar x5; Processing unit x100; Rocket fuel x50,Satellite x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
basic-oil-processing,Basic oil processing,Intermediate products,5,Crude oil x100,Petroleum gas x45,oil-refinery
advanced-oil-processing,Advanced oil processing,Intermediate products,5,Water x50; Crude oil x100,Heavy oil x25; Light oil x45; Petroleum gas x55,oil-refinery
coal-liquefaction,Coal liquefaction,Intermediate products,5,Coal x10; Heavy oil x25; Steam (165°C) x50,Heavy oil x90; Light oil x20; Petroleum gas x10,oil-refinery
coal-liquefaction-steam-500,Coal liquefaction,Intermediate products,5,Coal x10; Heavy oil x25; Steam (500°C) x50,Heavy oil x90; Light oil x20; Petroleum gas x10,oil-refinery
heavy-oil-cracking,Heavy oil cracking to light oil,Intermediate products,2,Water x30; Heavy oil x40,Light oil x30,chemical-plant
light-oil-cracking,Light oil cracking to petroleum gas,Intermediate products,2,Water x30; Light oil x30,Petroleum gas x20,chemical-plant
solid-fuel-from-petroleum-gas,Solid fuel from petroleum gas,Intermediate products,1,Petroleum gas x20,Solid fuel x1,chemical-plant
solid-fuel-from-light-oil,Solid fuel from light oil,Intermediate products,1,Light oil x10,Solid fuel x1,chemical-plant
solid-fuel-from-heavy-oil,Solid fuel from heavy oil,Intermediate products,1,Heavy oil x20,Solid fuel x1,chemical-plant
lubricant,Lubricant,Intermediate products,1,Heavy oil x10,Lubricant x10,chemical-plant
sulfuric-acid,Sulfuric acid,Intermediate products,1,Sulfur x5; Iron plate x1; Water x100,Sulfuric acid x50,chemical-plant
iron-plate,Iron plate,Intermediate products,3.2,Iron ore x1,Iron plate x1,stone-furnace; steel-furnace; electric-furnace
copper-plate,Copper plate,Intermediate products,3.2,Copper ore x1,Copper plate x1,stone-furnace; steel-furnace; electric-furnace
steel-plate,Steel plate,Intermediate products,16,Iron plate x5,Steel plate x1,stone-furnace; steel-furnace; electric-furnace
plastic-bar,Plastic bar,Intermediate products,1,Petroleum gas x20; Coal x1,Plastic bar x2,chemical-plant
sulfur,Sulfur,Intermediate products,1,Water x30; Petroleum gas x30,Sulfur x2,chemical-plant
battery,Battery,Intermediate products,4,Sulfuric acid x20; Iron plate x1; Copper plate x1,Battery x1,chemical-plant
explosives,Explosives,Intermediate products,4,Sulfur x1; Coal x1; Water x10,Explosives x2,chemical-plant
water-barrel,Fill Water barrel,Intermediate products,0.2,Water x50; Barrel x1,Water barrel x1,assembling-machine-2; assembling-machine-3
crude-oil-barrel,Fill Crude oil barrel,Intermediate products,0.2,Crude oil x50; Barrel x1,Crude oil barrel x1,assembling-machine-2; assembling-machine-3
petroleum-gas-barrel,Fill Petroleum gas barrel,Intermediate products,0.2,Petroleum gas x50; Barrel x1,Petroleum gas barrel x1,assembling-machine-2; assembling-machine-3
light-oil-barrel,Fill Light oil barrel,Intermediate products,0.2,Light oil x50; Barrel x1,Light oil barrel x1,assembling-machine-2; assembling-machine-3
heavy-oil-barrel,Fill Heavy oil barrel,Intermediate products,0.2,Heavy oil x50; Barrel x1,Heavy oil barrel x1,assembling-machine-2; assembling-machine-3
lubricant-barrel,Fill Lubricant barrel,Intermediate products,0.2,Lubricant x50; Barrel x1,Lubricant barrel x1,assembling-machine-2; assembling-machine-3
sulfuric-acid-barrel,Fill Sulfuric acid barrel,Intermediate products,0.2,Sulfuric acid x50; Barrel x1,Sulfuric acid barrel x1,assembling-machine-2; assembling-machine-3
empty-water-barrel,Empty Water barrel,Intermediate products,0.2,Water barrel x1,Water x50; Barrel x1,assembling-machine-2; assembling-machine-3
empty-crude-oil-barrel,Empty Crude oil barrel,Intermediate products,0.2,Crude oil barrel x1,Crude oil x50; Barrel x1,assembling-machine-2; assembling-machine-3
empty-petroleum-gas-barrel,Empty Petroleum gas barrel,Intermediate products,0.2,Petroleum gas barrel x1,Petroleum gas x50; Barrel x1,assembling-machine-2; assembling-machine-3
empty-light-oil-barrel,Empty Light oil barrel,Intermediate products,0.2,Light oil barrel x1,Light oil x50; Barrel x1,assembling-machine-2; assembling-machine-3
empty-heavy-oil-barrel,Empty Heavy oil barrel,Intermediate products,0.2,Heavy oil barrel x1,Heavy oil x50; Barrel x1,assembling-machine-2; assembling-machine-3
empty-lubricant-barrel,Empty Lubricant barrel,Intermediate products,0.2,Lubricant barrel x1,Lubricant x50; Barrel x1,assembling-machine-2; assembling-machine-3
empty-sulfuric-acid-barrel,Empty Sulfuric acid barrel,Intermediate products,0.2,Sulfuric acid barrel x1,Sulfuric acid x50; Barrel x1,assembling-machine-2; assembling-machine-3
iron-gear-wheel,Iron gear wheel,Intermediate products,0.5,Iron plate x2,Iron gear wheel x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
iron-stick,Iron stick,Intermediate products,0.5,Iron plate x1,Iron stick x2,assembling-machine-1; assembling-machine-2; assembling-machine-3
copper-cable,Copper cable,Intermediate products,0.5,Copper plate x1,Copper cable x2,assembling-machine-1; assembling-machine-2; assembling-machine-3
barrel,Barrel,Intermediate products,1,Steel plate x1,Barrel x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
electronic-circuit,Electronic circuit,Intermediate products,0.5,Iron plate x1; Copper cable x3,Electronic circuit x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
advanced-circuit,Advanced circuit,Intermediate products,6,Electronic circuit x2; Plastic bar x2; Copper cable x4,Advanced circuit x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
processing-unit,Processing unit,Intermediate products,10,Electronic circuit x20; Advanced circuit x2; Sulfuric acid x5,Processing unit x1,assembling-machine-2; assembling-machine-3
engine-unit,Engine unit,Intermediate products,10,Steel plate x1; Iron gear wheel x1; Pipe x2,Engine unit x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
electric-engine-unit,Electric engine unit,Intermediate products,10,Engine unit x1; Lubricant x15; Electronic circuit x2,Electric engine unit x1,assembling-machine-2; assembling-machine-3
